Plant,Disease,Symptom,Cause,Comment,Management
Coconut,Coconut rhinoceros beetle,V-shaped cuts in palm fronds or holes in leaf midribs caused by beetles boring into crown to feed; adult insect is a large black beetle with a curved spine on its head; larvae are creamy white grubs with brown heads and 3 sets of prolegs at the anterior (head) end.,Insect,Beetles are nocturnal and fly at night; also a damaging pest of oil palm.,May be possible to control coconut scale by pruning infested parts of trees and destroying by burning; chemical control may be necessary.
Coconut,Coconut scale,"Pale yellow spots on leaves; entire leaves yellowing; leaves turning brown and dropping prematurely; adult insect is a flattened oval, resembling a scale, which is red-brown in color.",Insect,Insect also attacks other crops such as tea and mango.,Mealybugs can potentially be controlled by natural enemies such as lady beetles but are commonly controlled using chemicals; chemical pesticides may also decrease populations of natural enemies leading to mealybug outbreaks.
Coconut,"Mealybugs (Pineapple mealybug, Striped mealybug, Cocoa mealybug, etc.)",Flattened oval to round disc-like insect covered in waxy substance on tree branches; insects attract ants which may also be present; insect colony may also be associated with growth of sooty mold due to fungal colonization of sugary honeydew excreted by the insect; symptoms of direct insect damage not well documented but trees may exhibit symptoms of cocoa swollen shoot (see disease entry).,Insect,Insects have a wide host range; often tended by ants which farm them for their sugary honeydew secretions; transmit Cocoa swollen shoot virus.,"Provide proper fertilizer and water for trees to withstand mite damage. Encourage natural enemies of mite in the orchard. If infestation is severe, apply suitable insecticide by root feeding or stem injection."
Coconut,Eriophyid coconut mite,"The mites suck sap from young nuts. Generally they feed on meristematic zone, i.e., the area which is covered by perianth. The infestation starts very early. As the nut develops the feeding leaves brown fissures that extending down from the perianth. The nut becomes small and distorted.",Mites,The mites spread through the wind. It causes yield loss from 30 to 60 per cent.,If a tree becomes infected it should be removed and destroyed; control of the disease is currently limited to efforts to control the weevil which transmits the nematode to the palms.
Cocoyam,Alomae-bobone,"Leaves thickened, rolled and often brittle; leaf veins are prominent and develop enations; leaf petioles are shortened and also develop enations; plant may recover (bobone disease)

Leaves thickened and dark green in color; distorted areas may develop on leaves and leaves may be cupped (but not rolled as in bobone disease); usually only one to three leaves affected (alomae disease)",Virus,"Taro plants have been traditionally classified as 'male' or 'female' based on their susceptibility to two diseases, both of which are caused by Colocasia bobone disease virus (CBDV), which are known as bobone and alomae; 'male' plants are susceptible to alomae and die as a result of the infection, but are resistant to bobone; 'female' plants are resistant to alomae but susceptible to bobone from which they recover; the virus is transmitted by leafhoppers",Remove any plants showing symptoms of disease and destroy by burning; removal of outer leaf sheaths may control the disease by reducing the number of leafhopper eggs
Cocoyam,Dasheen mosaic,Mosaic pattern on leaves; mild to moderately distorted leaves,Virus,Transmitted by aphids; symptoms more pronounced in cooler temperatures; infected plants may show no symptoms of disease fro several months after infection,The best method of control appears to be planting resistant varieties
Cocoyam,Phyllosticta leaf spot,Oval or irregular beige to reddish brown spots on leaves; dark brown spots with chlorotic area around lesion; holes in leaves where lesion centers have dried and dropped out,Fungus,"Disease emergence favored by cloudy, rainy weather",No control is needed unless the disease is causing severe defoliation of the plants; remove and destroy any diseased leaves
Cocoyam,Phytophthora leaf blight,"Small purple or dark brown, circular, water-soaked lesions on leaves which enlarge, turn purple-brown and may coalesce; lesions may exude clear amber fluid from center; lesions may from concentric pattern and develop white fuzz on both sides of leaves; holes may form in leaves where lesions have dried and dropped out; leaves collapse and die; disease may occur as a post-harvest rot of corms and causes large areas of dark gray to blue rot with indistinct margins",Oomycete,Disease emergence favored by rainy overcast weather with low night temperatures; disease spread primarily by splashing rain water,"Planting resistant varieties is the most effective method of controlling the disease; if plants do become infected, symptomatic leaves should be removed and destroyed to reduce the level of inoculum; plant cocoyam in well-draining soils; disease may also be controlled by protective sprays of appropriate systemic or non-systemic fungicides where available"
Cocoyam,Pythium root and corm rot,"Soft, mushy rot on corm with foul odor; root system may be completely destroyed; plants stunted with shortened leaf stalks; leaves curled, crinkled and yellowish in color; when corm is cut open rotted area is sharply delineated from healthy tissue",Fungi,"Disease emergence appears to favor the presence of warm, stagnant water where cocoyam is grown in wetlands; poor field sanitation practices aid in the spread of the disease",Some varieties are more resistant to the disease than others (e.g. Hawaiian varieties Kai Kea and Kai uliuli) and should be planted if disease is known to be a problem in the area; root rot severity can be reduced in acid soils by the addition of the fungicide Captan prior to planting
Cocoyam,Pink hibiscus mealybug,Stunted growth of plants at growing tips; leaves may be distorted; insects are soft bodied elongated ovals which are pink in color and covered in a white waxy substance; adults are approximately 2-4 mm in length,Insect,Pink hibiscus mealybugs have a very wide host range and may also be found on other crops such as cassava and mango as well as leguminous plants,"Pesticides are often largely ineffective at controlling the insects as they hide in crevices on the plants and avoid contact with the chemical; in the Caribbean, predatory beetles have been very successful at controlling populations of mealy bugs"
Cocoyam,Taro beetle,Tunnels bored in corms; tunnels may join together to form large cavities; large populations of insects may bcause the plants to wilt and die; adult insect is a shiny black scarab beetle,Insect,Beetle is a major pest of taro in Papua New Guinea and Fiji,The lack of chemical pesticides registered for use on taro beetles means that control relies largely on populations of natural enemies and cultural control methods; taro gardens in Papua New Guinea are often flooded in an attempt to control the pest; farmers may also apply wood ash to the crop
Coffee,Bacterial blight,Water-soaked spots on leaves which dry out and become brown and necrotic with yellow halos; necrosis of shoot tips which spreads rapidly down branches; leaves turn black and die off but remain attached to tree,Bacterium,Disease can be spread long distance by the movement of infected seedlings or within the field by water splash; bacteria can enter the plant through wounds,Protective sprays of copper should be applied to the plants just before the onset of the rainy season and should be continued right through to the short rains
Coffee,Bad Image,,,,Ensure crop is adequately fertilized as nutrient deficient plants are more susceptible to the disease; remove all crop debris from filed after pruning to prevent build up of inoculum; good plant spacing and pruning to open up the canopy promotes good air circulation around foliage and protects against disease; if disease does occur then it can be controlled with the use of copper fungicides where available
Coffee,Berry Blister,,,,Protective sprays of copper containing fungicides can help to control the disease; any diseased berries should be removed from plants; resistant varieties are available and should be planted in areas where disease is present
Coffee,Coffee Rust Leaf,,,,"Resistant varieties Commercially grown coffee has, through the practice of monocultures, lost much of the genetic diversity of its wild ancestors. Sadly, due to the effects of deforestation, wild coffee has also lost much of its genetic diversity outside of its evolutionary center in Ethiopia. The breeding of crop varieties which are resistant to key pathogens has proven to be a very successful method of controlling diseases and inIn the late 1950s, a natural coffee hybrid was discovered growing wild in East Timor. The plant was found to be a hybrid of C. arabica and  C. canephora and was named Hibrído de Timor (HDT). The plant was found to possess full or partial resistance to all known races of the rust pathogen and five genes were subsequently elucidated from the hybrid and from other coffee varieties that were responsible for conferring the resistance  Varieties expressing some of these genes have been grown commercially but the the resistance was broken-down after a few years when new virulent races of the rust pathogen emerged. Crosses of the hybrid with other commercial cultivars produced the ‘Colombia’ cultivar which is now widely planted.  Colombia managed to reduce its losses during the 2012/13 epidemic because of new plantings. Many Colombian farmers are now replanting with Castillo or Colombia varieties. Fungicides Copper-containing fungicides Copper-containing fungicides remain one of the most effective and economical methods of controlling the rust pathogen in susceptible coffee varieties and during conditions which are favorable to the development of rust. They have the added advantage of being active against a number of other fungal pathogens and have also been shown to increase coffee yields. Examples of copper-containg fungicides used in coffee include copper oxychloride and cuprous oxide which have largely replaced the use of Bordeaux mixture in most commercial plantations. These chemicals are applied protectively with plants being sprayed in advance of infection and work by adhering to the plant and producing a toxic barrier to invading fungal pathogens. They pose limitations due to their need to be reapplied at regular intervals to protect new growth flushes and also pose environmental concerns over the accumulation of copper to toxic levels in the soil. Copper-containing fungicides can be alternated with systemic fungicides to reduce the amount of copper build-up. Systemic fungicides Systemic fungicides used in coffee include pyracarbolids such as triadimefon and propiconazole and strobilurins such as azoxystrobin. Systemic fungicides are transported around the plant in the vascular tissue after application thus requiring lower doses and less frequent application than copper-based fungicides. They can be applied after infection has occurred to treat the symptoms of the disease and eradicate it from the host plant. Systemic fungicides tend to be more expensive and some have been shown to induce severe defoliation of the coffee plant. They have been shown to be very effective at controlling rust when used in combination with copper-containing fungicides. Organic fungicides Only one organic fungicide is widely used in coffee - triadimefon. Triadimefon is a systemic fungicide which is applied to the foliage and works to inhibit the rust infection. It can be alternated or combined with other chemicals and is generally very effective at controlling rust infections. Organically certified control methods Most commercially grown coffee varieties are susceptible to coffee rust fungus and because organic farmers cannot use chemical approaches controlling the rust is extremely hard. (note that in some growing regions copper based fungicides are allowed). Here we discuss a few methods and we encourage others to share knowledge by emailing PlantVillage  or answering questions on the forum. i) Planting spore traps. The fungal spore has a rough side that attaches to plant tissue. Wind-break trees can be used to reduce the spore load. Organic coffee is often grown using shade trees which may act to reduce inoculum reaching the coffee plants. ii) Spraying organic formulations that impacts the ability of the spore to germinate or of new spores to be produced.  We have heard that some farmers had success with this strategy but we do not know the details. Dr  Peter Baker of CABI has reported to us that some farmers are using lime sulphur because of the expense of copper. We will try and find more information. Please contact PlantVillage if you have information. iii) Spraying water. It is feasible that high pressure water can wash the spores from the leaves  and reduce the spore load. Heavy rains may also have the same effect. As humidity on the leaves actually promotes fungal growth then washing is best done when the water is likely to evaporate. Biological control Concepts Biological control is the use of one living organism to control another living organism that is considered a pest species. In addition to breeding new and better genetic material and the use of good crop husbandry, the development of an effective biological control strategy could provide another tool to manage coffee rust which would allow for organic certification and the continued use of heirloom varieties. If a suitable agent(s) can be identified in the short term, then this approach would be available in significantly less time than that needed to develop a new variety. CBC of fungi exploits the ability of coevolved fungal natural enemies in order to produce massive quantities of inoculum on the host plant and allow them to spread and propagate continuously within the host population. It offers a sustainable control method but has and has, surprisingly, never been used for crop pathogens (diseases). The concept is simple and follows the enemy-release hypothesis whereby an exotic or alien species increases its fitness, and hence its invasiveness, because it arrives without its guild of co-evolved natural enemies. Examples i) Bacteria Bacteria such as Bacillus and Pseudomonas are known to produce compounds that negatively affect fungal pathogens of plants. Such bacteria evolved in the soil and utilize antifungal compounds to compete with soil dwelling fungi. A number of studies have shown how coffee rust development in greenhouse settings or in the lab can be retarded by Bacillus and Pseudomonas. For example, a study by Haddad et al, 2009 showed for the first time that certain strains of< i>Bacillus and Pseudomonas reduced coffee rust on organic farms in Brazil. In follow up work the same team (Haddad et al 2014) found 17 different bacterial isolates collected from leaves, leaf debris, and soil reduced both the infection frequency and the number of H. vastatrix urediniospores produced per leaf by more than 70%. ii) Other fungi White halo fungus, Lecanicillium lecanii, has been suggested as a potential biological control agent of coffee rust by Prof. John Vandermeer and collaborators at the University of Michigan (Vandermeer et al 2009). White halo fungus has been shown to be hyperparasitic on Hemileia vastatrix in laboratory conditions and it has also been observed attacking the fungus in the field. White halo fungus often infects green coffee scale which feed on coffee. These insects are frequently tended by ants which collect the sugar that they excrete. The ants often create clusters of scale insects on the plants which are infected with white halo disease. It is postulated that white halo fungus may attack and kill the coffee leaf rust fungus or may simply reduce its abundance due to crowding effects or produce chemicals to attack it. Currently, the fungus does not appear be a viable biological control agent because it has not evolved to parasitize the fungi, rather it evolved to infect insects. Promising attempts have  been made to culture the fungus and apply it as a topical spray to control the rust fungus. Future prospects Currently, no CBC program has focused explicitly on controlling coffee rust but pathogenic rusts have themselves been used to control other pests. For example, rubber vine is considered to be a major pest plant in Australia as it is highly invasive and causes millions of dollars of damage to agriculture and massive ecological damage. A team led by Dr. Harry Evans, a scientific officer with CAB International, identified a rust called Maravalia (which is taxonomically close to coffee rust) in the center of genetic origin for rubber vine in Madagascar which showed potential for use as a CBC agent. Before the rust could be released in the environment in Australia, it had to be quarantined. This process removed the rust from its natural enemies and had the effect of making the rust fungus extremely pathogenic. Dr. Evan’s stated that the rust went ‘berserk’ and when it was eventually deployed in Australia, it was extremely successful at controlling the rubber vine, even killing off young seedlings. In 2014, another team led by Dr. Evans and Dr. Roberto Barretto of the Federal University of Vicosa in Brazil will begin to explore genetic centers of origin of Arabica coffee with the aim of identifying similar co-evolved natural enemies of Hemileia vastatrix. It is believed that CBC holds great promise for the future control of coffee rust."
Coffee,Coffee Rust Leaf (underside),,,,Prune out infested twigs and stems and destroy; flagging branches should be pruned back a few inches from the beginning of symptomatic areas; adequate fertilizer and irrigation to ensure vigorous plants can speed recovery from pruning injury
Coffee,Coffee Rust Symptom,,,,Removal of dropped berries and debris on plantation floor can help reduce sources of new infections; remove any berries remaining on plants after harvest; insecticide application is only effective if applied when the female beetle is still in the entry tunnel and has not yet penetrated deep into the berry
Collard greens,Alternaria leaf spot,Brown to tan concentric rings with yellow edges on leaves; centers of lesions developing gray to brown soft fungal mold; brown to black lesions with a black border on roots,Fungus,"Disease emergence favors warm, wet conditons",Plant only pathogen-free seed; rotate crops; applications of appropriate fungicides control disease when present
Collard greens,Anthracnose,Small circular or irregularly shaped dry spots which are gray to straw in color on leaves; a high number of spots may cause the leaf to die; lesions may coalesce to form large necrotic patches causing leaves to turn yellow and wilt; lesions may split or crack in dry centers; dry sunken spots on roots which enlarge and turn gray or brown,Fungus,"Fungus overwinters on leaf debris and on related weeds; disease emergence is favored by moist, warm conditions",Control of disease depends on sanitary practices; treat seeds with hot water prior to planting; rotate crops; plant in an area with good soil drainage; remove all cruciferous weeds which may act as a reservoir for the fungus
Collard greens,Black rot,"Seedlings develop wilted yellow to brown leaves and collapse; yellow, V-shaped lesions on mature leaf margins; dark rings can be found in the cross section of the stem",Bacterium,"Disease emergence favors warm, wet conditions",Primary control methods based on good sanitation; plant disease-free seed; rotate crops every 2 years or less to non-brassica; avoid sprinkler irrigation
Collard greens,Cercospora leaf spot (Frogeye leaf spot),Angular or circular green to gray spots with brown borders on leaves; plant defoliation may occur in the case of a severe infestation,Fungus,Disease emergence favors cool temperatures and wet weather,Plant only certified disease-free seed; avoid overhead irrigation; rotate crops to non-brassica species for 2-3 years; apply appropriate fungicide if disease emerges
Collard greens,Clubroot,"Slow growing, stunted plants; yellowish leaves which wilt during day and rejuvenate in part at night; swollen, distorted roots; extensive gall formation",Fungus,Can be difficult to distinguish from nematode damage; fungus can survive in soil for periods in excess of 10 years; can be spread by movement of contaminated soil and irrigation water to uninfected areas,"Once the pathogen is present in the soil it can survive for many years, elimination of the pathogen is economically unfeasible; rotating crops generally does not provide effective control; plant only certified seed and avoid field grown transplants unless produced in a fumigated bed; applying lime to the soil can reduce fungus sporulation"
Collard greens,Downy mildew,Gray to white fluffy mold on the underside of leaves; tan to yellow dry spots on upper surface of leaves; leaves dropping,Fungus,Disease emergence favors cool temperatures; disease spreads quickly in wet conditions,Remove all crop debris after harvest; rotate with non-brassicas; application of appropriate fungicides may be required if symptoms of disease are present
Collard greens,White leaf spot,"Small, necrotic, brown spots on leaf tips or margins that matures to light gray or white with the original dark spot in center; margins of lesions may be darker; lesions may coalesce to form large chlorotic areas and cause defoliation",Fungus,Disease emergence favors cool and wet conditions,No known plant resistance to white leaf spot so control relies on cultural practices such as rotating crops and removing weeds; application of appropriate fungicide may help control the disease
Collard greens,Wirestem (Damping-off),Death of seedlings after germination; brown-red or black rot girdling stem; seedling may remain upright but stem is constricted and twisted (wirestem),Fungus,"Disease emergence favors slow growing, deeply seeded plants and cool, wet soils",Plant pathogen-free seed or transplants that have been produced in sterilized soil; apply fungicide to seed to kill off any fungi; shallow plant seeds or delay planting until soil warms
Collard greens,Beet armyworm,"Singular, or closely grouped circular to irregularly shaped holes in foliage; heavy feeding by young larvae leads to skeletonized leaves; shallow, dry wounds on fruit; egg clusters of 50-150 eggs may be present on the leaves; egg clusters are covered in a whitish scale which gives the cluster a cottony or fuzzy appearance; young larvae are pale green to yellow in color while older larvae are generally darker green with a dark and light line running along the side of their body and a pink or yellow underside",Insect,Insect can go through 3–5 generations a year,Organic methods of controlling the beet armyworm include biological control by natural enemies which parasitize the larvae and the application of Bacillus thuringiensis; there are chemicals available for commercial control but many that are available for the home garden do not provide adequate control of the larvae
Collard greens,Cabbage aphid,"Large populations can cause stunted growth or even plant death; insects may be visible on the plant leaves and are small, grey-green in color and soft bodied and are covered with a white waxy coating; prefer to feed deep down in cabbage head and may be obscured by the leaves",Insect,Cabbage aphids feed only on cruciferous plants but may survive on related weed species,If aphid population is limited to just a few leaves or shoots then the infestation can be pruned out to provide control; check transplants for aphids before planting; use tolerant varieties if available; reflective mulches such as silver colored plastic can deter aphids from feeding on plants; sturdy plants can be sprayed with a strong jet of water to knock aphids from leaves; insecticides are generally only required to treat aphids if the infestation is very high - plants generally tolerate low and medium level infestation; insecticidal soaps or oils such as neem or canola oil are usually the best method of control; always check the labels of the products for specific usage guidelines prior to use
Collard greens,Cabbage looper,"Large or small holes in leaves; damage often extensive; caterpillars are pale green with a white lines running down either side of their body; caterpillars are easily distinguished by the way they arch their body when moving; eggs are laid singly, usually on the lower leaf surface close to the leaf margin, and are white or pale green in color",Insect,Insects overwinter as pupae in crop debris in soil; adult insect id a dark colored moth; caterpillars have a wide host range,Looper populations are usually held in check by natural enemies; if they do become problematic larvae can be hand-picked from the plants; an organically acceptable control method is the application of Bacillus thuringiensis which effectively kills younger larvae; chemical sprays may damage populations of natural enemies and should and should be selected carefully
Collard greens,Cutworms,"Stems of young transplants or seedlings may be severed  at soil line; if infection occurs later, irregular holes are eaten into the surface of fruits; larvae causing the damage are usually active at night and hide during the day in the soil at the base of the plants or in plant debris of toppled plant; larvae are 2.5–5.0 cm (1–2 in) in length; larvae may exhibit a variety of patterns and coloration but will usually curl up into a C-shape when disturbed",Insects,"Cutworms have a wide host range and attack vegetables including asparagus, bean, cabbage and other crucifers, carrot, celery, corn, lettuce, pea, pepper, potato and tomato","Remove all plant residue from soil after harvest or at least two weeks before planting, this is especially important if the previous crop was another host such as alfalfa, beans or a leguminous cover crop; plastic or foil collars fitted around plant stems to cover the bottom 3 inches above the soil line and extending a couple of inches into the soil can prevent larvae severing plants; hand-pick larvae after dark; spread diatomaceous earth around the base of the plants (this creates a sharp barrier that will cut the insects if they try and crawl over it); apply appropriate insecticides to infested areas of garden or field if not growing organically"
Collard greens,Diamondback moth,"Young larvae feed between upper and lower leaf surface and may be visible when they emerge from small holes on the underside of the leaf; older larvae leave large, irregularly shaped shotholes on leaf undersides, may leave the upper surface intact; larvae may drop from the plant on silk threads if the leaf is disturbed; larvae are small (1 cm/0.3 in) and tapered at both ends; larvae have to prolegs at the rear end that are arranged in a distinctive V-shape",Insect,"Larvae take between 10 and 14 days to mature and spin a loose, gauze-like cocoon on leaves or stems to pupate",Larvae can be controlled organically by applications of Bacillus thurengiensis or Entrust; application of appropriate chemical insecticide is only necessary if larvae are damaging the growing tips of the plants
Collard greens,Flea beetles,Small holes or pits in leaves that give the foliage a characteristic “shothole” appearance; young plants and seedlings are particularly susceptible; plant growth may be reduced; if damage is severe the plant may be killed; the pest responsible for the damage is a small (1.5–3.0 mm) dark colored beetle which jumps when disturbed; the beetles are often shiny in appearance,Insects,"Younger plants are more susceptible to flea beetle damage than older ones; older plants can tolerate infestation; flea beetles may overwinter on nearby weed species, in plant debris or in the soil; insects may go through a second or third generation in one year","In areas where flea beetles are a problem, floating row covers may have to be used prior to the emergence of the beetles to provide a physical barrier to protect young plants; plant seeds early to allow establishment before the beetles become a problem - mature plants are less susceptible to damage; trap crops may provide a measure of control - cruciferous plants are best; application of a thick layer of mulch may help prevent beetles reaching surface; application on diamotecoeus earth or oils such as neem oil are effective control methods for organic growers; application of insecticides containing carbaryl, spinosad, bifenthrin and permethrin can provide adequate control of beetles for up to a week but will need reapplied"
Collard greens,Large cabbage white  (Cabbageworm),"Large ragged holes in leaves or bored into head; green-brown frass (insect feces) on leaves; caterpillar is green in color and hairy, with a velvet-like appearance; may have faint yellow to orange stripes down back; slow-moving compared with other caterpillars",Insect,Larvae can be distinguished from other caterpillars by their sluggish movement; in large numbers larvae can cause extensive damage very quickly,Hand-pick caterpillars from plants and destroy; scrape eggs from leaves prior to hatching; apply appropriate insecticide if infestation is very heavy
Collard greens,"Thrips (Western flower thrips, Onion thrips, etc.)",If population is high leaves may be distorted; leaves are covered in coarse stippling and may appear silvery; leaves speckled with black feces; insect is small (1.5 mm) and slender and best viewed using a hand lens; adult thrips are pale yellow to light brown and the nymphs are smaller and lighter in color,Insect,"Transmit viruses such as Tomato spotted wilt virus; once acquired, the insect retains the ability to transmit the virus for the remainder of its life","Avoid planting next to onions, garlic or cereals where very large numbers of thrips can build up; use reflective mulches early in growing season to deter thrips; apply appropriate insecticide if thrips become problematic"
Collard greens,Root knot nematode,Galls on roots which can be up to 3.3 cm (1 in) in diameter but are usually smaller; reduction in plant vigor; yellowing plants which wilt in hot weather,Nematode,Galls can appear as quickly as a month prior to planting; nematodes prefer sandy soils and damage in areas of field or garden with this type of soil is most likely,Plant resistant varieties if nematodes are known to be present in the soil ;check roots of plants mid-season or sooner if symptoms indicate nematodes; solarizing soil can reduce nematode populations in the soil and levels of inoculum of many other pathogens
Coriander (Cilantro),Bacterial leaf spot,Very small water-soaked spots between leaf veins which enlarge and turn dark brown to black; stems may have elongated dark streaks; inflorescences yellowing and turning brown and blighted; water-soaked lesions on fruit,Bacterium,Disease is transmitted through infected seed and can be spread by splashing irrigation water and rain,Bacterial leaf spot is difficult to control; plant pathogen-free seed; avoid overhead irrigation; do not work with plants when they are wet
Coriander (Cilantro),Soft rot,"Small water-soaked lesions near base of petioles which become soft, sunken and brown",Bacteria,Bacteria thrive in oxygen depleted plant tissue; disease emergence requires long periods of water saturated soil; bacteria enter plants through wounds,Control relies on the avoidance of conditions conducive to bacterial infection: plant coriander in well-draining soils; allow plants to dry before irrigating again; avoid wounding plants during harvest to prevent pst harvest development of disease; disinfect all equipment regularly
Coriander (Cilantro),Carrot motley dwarf (CMD),Yellow and red leaves; stunted plant growth,Viruses,Disease transmitted by aphids; both viruses must be present to cause carrot motley dwarf,Avoid planting coriander in close proximity to overwintered carrot fields
Coriander (Cilantro),Damping-off,"Soft, rotting seeds which fail to germinate; rapid death of seedling prior to emergence from soil; collpase of seedlings after they have emerged from the soil caused by water-soaked reddish lesions girdling the stem at the soil line",Fungi,"Damping-off diseases favor conditions which slow seed germination; fungi can be spread in water, contaminated soil or on equipment","Avoid planting in poorly draining, cool, wet soil; planting in raised beds will help with soil drainage; plant high quality seed that germinates quickly; treat seeds with fungicide prior to planting to eliminate fungal pathogens"
Coriander (Cilantro),Powdery mildew,"Powdery growth on leaves, petioles flowers stalks and bracts; leaves becoming chlorotic; severe infections can cause flowers to become distorted",Fungus,Fungus can spread long distances in air; disease emergence is favored by high humidity and moderate temperatures; infection is most severe in shaded areas,Plant tolerant varieties; avoid excess fertilization; protective fungicide applications provide adequate protection; sulfur application can be used in infection occurs early in season
Coriander (Cilantro),Aphids (Willow-carrot aphid),"Small soft bodied insects on underside of leaves and/or stems of plant; usually green or yellow in color; if aphid infestation is heavy it may cause leaves to yellow and/or distorted, necrotic spots on leaves and/or stunted shoots; aphids secrete a sticky, sugary substance called honeydew which encourages the growth of sooty mold on the plants",Insect,"Distinguishing features include the presence of cornicles (tubular structures) which project backwards from the body of the aphid; will generally not move very quickly when disturbed; willow-carrot aphid will also attack parnip, carrot and celery",If aphid population is limited to just a few leaves or shoots then the infestation can be pruned out to provide control; check transplants for aphids before planting; use tolerant varieties if available; reflective mulches such as silver colored plastic can deter aphids from feeding on plants; sturdy plants can be sprayed with a strong jet of water to knock aphids from leaves; insecticides are generally only required to treat aphids if the infestation is very high - plants generally tolerate low and medium level infestation; insecticidal soaps or oils such as neem or canola oil are usually the best method of control; always check the labels of the products for specific usage guidelines prior to use
Coriander (Cilantro),Armyworm,"Singular, or closely grouped circular to irregularly shaped holes in foliage; heavy feeding by young larvae leads to skeletonized leaves; shallow, dry wounds on fruit; egg clusters of 50-150 eggs may be present on the leaves; egg clusters are covered in a whitish scale which gives the cluster a cottony or fuzzy appearance; young larvae are pale green to yellow in color while older larvae are generally darker green with a dark and light line running along the side of their body and a pink or yellow underside",Insect,Insect can go through 3–5 generations a year,Organic methods of controlling armyworms include biological control by natural enemies which parasitize the larvae and the application of Bacillus thuringiensis; there are chemicals available for commercial control but many that are available for the home garden do not provide adequate control of the larvae
Coriander (Cilantro),Cutworms,"Stems of young transplants or seedlings may be severed  at soil line; if infection occurs later, irregular holes are eaten into the surface of fruits; larvae causing the damage are usually active at night and hide during the day in the soil at the base of the plants or in plant debris of toppled plant; larvae are 2.5–5.0 cm (1–2 in) in length; larvae may exhibit a variety of patterns and coloration but will usually curl up into a C-shape when disturbed",Insects,"Cutworms have a wide host range and attack vegetables including asparagus, bean, cabbage and other crucifers, carrot, celery, corn, lettuce, pea, pepper, potato and tomato","Remove all plant residue from soil after harvest or at least two weeks before planting, this is especially important if the previous crop was another host such as alfalfa, beans or a leguminous cover crop; plastic or foil collars fitted around plant stems to cover the bottom 3 inches above the soil line and extending a couple of inches into the soil can prevent larvae severing plants; hand-pick larvae after dark; spread diatomaceous earth around the base of the plants (this creates a sharp barrier that will cut the insects if they try and crawl over it); apply appropriate insecticides to infested areas of garden or field if not growing organically"
Coriander (Cilantro),Root knot nematode,Galls on roots which can be up to 3.3 cm (1 in) in diameter but are usually smaller; reduction in plant vigor; yellowing plants which wilt in hot weather,Nematode,Galls can appear as quickly as a month prior to planting; nematodes prefer sandy soils and damage in areas of field or garden with this type of soil is most likely,Plant resistant varieties if nematodes are known to be present in the soil ;check roots of plants mid-season or sooner if symptoms indicate nematodes; solarizing soil can reduce nematode populations in the soil and levels of inoculum of many other pathogens
Cotton,Alternaria leaf spot,"Small, circular brown lesions on cotyledons and seedling leaves which expand and develop a concentric pattern; necrotic areas coalesce and often have a purple margin; centers of lesions may dry out and drop form the plant creating a ""shot-hole"" appearance on the leaves.",Fungus,"Plants stressed by drought, nutrient deficiency and other pests are more susceptible to the disease; fungus spreads rapidly in dense canopies, especially during periods of warm, wet weather.","Plow crop residue into the soil to reduce inoculum levels; provide plants with adequate irrigation and nutrients, particularly potassium; applications of appropriate foliar fungicides may be required on susceptible cultivars."
Cotton,Asochyta blight,Brown or gray spots on leaves surrounded by a red halo; elongated red-purple cankers on stems cause the wilting and death of leaves above.,Fungus,"Disease emergence is favored by cool, wet weather.",No fungicides are currently registered for use in cotton; plow crop debris into soil after harvest; crop rotation has little to no effect of control of disease.
Cotton,Cercospora leaf spot,Circular red lesions on leaves which enlarge and turn white or gray in the center; lesions often have a pattern of concentric rings and possess a red margin; dark gray spore masses form in the centers of the lesions making them appear dark gray.,Fungus,Fungus overwinters in crop debris from previous growing season; commonly found alongside Alternaria leaf spot and other foliar disease.,Plow crop residue into the soil to reduce inoculum levels; provide plants with adequate irrigation and nutrients; applications of appropriate foliar fungicides may be required on susceptible cultivars.
Cotton,Fusarium wilt,Wilting of cotyledons and seedling leaves; cotyledons become chlorotic at the edges and then necrotic; older plants exhibit symptoms of wilting and leaf chlorosis; wilting is usually gradual but may be pronounced after heavy summer rain; if infection is severe plants become stunted and may be killed; vascular system of infected plants becomes discolored and can be seen by cutting the stem.,Fungus,Disease emergence is favored by warm temperatures; fungus may be introduced to field through infected seed or by contaminated equipment and human movement.,"Use on certified, disease-free seed; plant varieties with higher resistance to the disease in areas with a history of Fusarium diseases; fumigating the soil may reduce disease incidence."
Cotton,Target spot,"The symptoms can be found on leaves, boll bracts and on bolls. Initially the appearance of small chocolate brown spots which later enlarge to become circular to irregular spot with target markings. The symptoms are mainly seen in the lower canopy. Typically the infected leaves retain their green color or green yellow color. Under severe conditions leaf and flower drop may occur.",Fungus,"The pathogen also infects cucumber, sweet potato, soybean and tomato. It will cause severe loss if pathogen infect at flowering stage. The disease is common in Southeastern cotton producing states of USA. The target spot is confused with leaf spot caused by Cercospora spp. Stemphyllium spp. or Alternaria spp. But this spot is surrounded by reddish to purplish margin.",Use available resistant varieties. Follow crop rotation. Spray suitable fungicide.
